id_cliente,qtde_compras,valor_compras,periodo_consumo
102005.0,5,70.83,2024-10
102328.0,5,115.95,2024-10
100003.0,5,112.43,2024-10
100308.0,5,91.65,2024-10
101076.0,5,107.87,2024-10
102290.0,5,90.63,2024-10
100631.0,5,96.14,2024-10
101484.0,5,67.44,2024-10
102621.0,4,82.57,2024-10
101759.0,4,55.61,2024-10
100426.0,4,85.61,2024-10
101423.0,4,83.72,2024-10
100884.0,4,80.57,2024-10
100816.0,4,51.67,2024-10
101254.0,4,63.14,2024-10
100434.0,4,61.42,2024-10
100178.0,4,65.59,2024-10
101730.0,4,53.89,2024-10
102153.0,4,90.37,2024-10
101135.0,4,73.91,2024-10
100782.0,4,63.25,2024-10
101216.0,4,67.17,2024-10
101796.0,4,69.33,2024-10
102410.0,4,75.92,2024-10
100859.0,4,72.27,2024-10
100672.0,4,89.62,2024-10
101125.0,4,69.68,2024-10
101002.0,4,92.74,2024-10
100632.0,3,65.02,2024-10
100562.0,3,44.31,2024-10
102350.0,3,67.57,2024-10
100468.0,3,41.34,2024-10
100250.0,3,63.93,2024-10
100673.0,3,49.85,2024-10
100586.0,3,65.88,2024-10
100043.0,3,65.56,2024-10
100395.0,3,63.56,2024-10
100263.0,3,63.04,2024-10
100156.0,3,47.41,2024-10
101461.0,3,40.2,2024-10
102579.0,3,50.57,2024-10
101503.0,3,43.18,2024-10
102049.0,3,59.98,2024-10
101815.0,3,48.74,2024-10
101148.0,3,69.02,2024-10
102136.0,3,58.24,2024-10
102555.0,3,64.09,2024-10
100803.0,3,41.86,2024-10
101377.0,3,65.36,2024-10
100597.0,2,44.88,2024-10
100796.0,2,35.52,2024-10
102077.0,2,38.08,2024-10
100875.0,2,22.13,2024-10
101777.0,2,28.82,2024-10
101297.0,2,35.86,2024-10
100093.0,2,33.62,2024-10
100302.0,2,28.2,2024-10
100290.0,2,32.95,2024-10
100050.0,2,26.52,2024-10
101544.0,2,25.61,2024-10
102461.0,2,27.96,2024-10
101457.0,2,45.75,2024-10
100360.0,2,36.86,2024-10
102658.0,2,45.81,2024-10
102386.0,2,34.35,2024-10
100505.0,2,31.76,2024-10
100874.0,2,35.93,2024-10
100079.0,2,34.5,2024-10
100086.0,2,27.33,2024-10
102044.0,2,38.82,2024-10
102571.0,2,29.7,2024-10
100154.0,2,38.37,2024-10
100997.0,2,39.03,2024-10
101735.0,2,28.33,2024-10
102705.0,2,26.38,2024-10
100477.0,2,41.83,2024-10
100016.0,2,34.94,2024-10
101574.0,2,26.31,2024-10
100940.0,2,46.43,2024-10
100380.0,2,26.3,2024-10
100460.0,2,39.99,2024-10
101935.0,2,46.19,2024-10
101553.0,2,30.2,2024-10
101291.0,2,28.12,2024-10
100414.0,2,27.67,2024-10
100019.0,2,31.57,2024-10
101854.0,2,19.55,2024-10
100827.0,2,39.93,2024-10
100525.0,2,26.4,2024-10
102430.0,2,36.0,2024-10
102064.0,2,46.47,2024-10
100171.0,2,42.54,2024-10
100798.0,2,38.27,2024-10
101545.0,2,31.64,2024-10
100348.0,2,38.46,2024-10
102535.0,2,36.38,2024-10
101464.0,2,18.25,2024-10
101586.0,2,27.87,2024-10
100582.0,2,44.1,2024-10
101243.0,2,34.72,2024-10
101442.0,2,29.24,2024-10
101107.0,2,32.96,2024-10
102538.0,2,33.96,2024-10
100701.0,2,42.84,2024-10
100334.0,2,21.78,2024-10
100306.0,2,41.58,2024-10
101004.0,2,25.3,2024-10
102568.0,2,34.0,2024-10
101082.0,2,35.4,2024-10
102108.0,2,25.47,2024-10
100475.0,2,30.64,2024-10
102218.0,1,20.7,2024-10
102617.0,1,14.0,2024-10
102628.0,1,18.28,2024-10
,1,14.84,2024-10
100443.0,1,12.66,2024-10
100297.0,1,1.01,2024-10
101563.0,1,23.01,2024-10
100479.0,1,21.14,2024-10
100487.0,1,22.84,2024-10
101577.0,1,17.77,2024-10
101585.0,1,13.71,2024-10
100164.0,1,18.42,2024-10
101068.0,1,17.41,2024-10
102682.0,1,21.6,2024-10
101583.0,1,13.58,2024-10
102158.0,1,17.77,2024-10
100522.0,1,14.14,2024-10
102655.0,1,16.02,2024-10
102471.0,1,20.45,2024-10
100669.0,1,17.64,2024-10
102405.0,1,16.57,2024-10
101288.0,1,16.77,2024-10
100865.0,1,17.46,2024-10
101142.0,1,20.96,2024-10
101954.0,1,22.11,2024-10
101620.0,1,22.79,2024-10
102496.0,1,20.98,2024-10
100070.0,1,15.92,2024-10
100781.0,1,19.92,2024-10
100210.0,1,17.23,2024-10
101649.0,1,15.27,2024-10
100311.0,1,21.56,2024-10
100697.0,1,12.94,2024-10
101477.0,1,22.21,2024-10
101163.0,1,17.49,2024-10
